timestamp,asset,symbol,chain,metric_name,value,source,confidence_score
2025-09-16T13:30:00.739Z,bitcoin,,,macro,"{'price': 115499, 'volume_24h': 37013091700, 'marketcap': 2301127203214, 'dominance': 1}",coingecko,1.0
1758029485,,,ethereum,defi_tvl,"{'tvl': 93503121497.73627, 'tvlPrevDay': 93503121497.73627, 'tvlPrevWeek': 93503121497.73627, 'tvlPrevMonth': 93503121497.73627}",defillama,1.0
,BTC,,,txcount,914956,blockchain.info,1.0
,BTC,,,hashrate,933235868834.0,blockchain.info,1.0
1757894400,BTC,,,sopr,1.0558012802359549,bitcoin-data.com,1.0
1758014700000,,BTCUSDT,,open_interest,69559.95,bybit,1.0
1758014700000,,BTCUSDT,,long_short_ratio,"{'buy_ratio': 0.6219, 'sell_ratio': 0.3781}",bybit,1.0
1757980800,,,,fear_greed,"{'value': '52', 'classification': 'Neutral', 'time_until_update': '39376'}",alternative.me,1.0
