timestamp,asset,symbol,chain,metric_name,value,source,confidence_score
2025-09-16T14:20:33.072Z,bitcoin,,,macro,"{'price': 115049, 'volume_24h': 38404535594, 'marketcap': 2292960137493, 'dominance': 1}",coingecko,1.0
,BTC,,,txcount,914966,blockchain.info,1.0
,BTC,,,hashrate,946761026353.0,blockchain.info,1.0
1757894400,BTC,,,sopr,1.0558012802359549,bitcoin-data.com,1.0
1758017700000,,BTCUSDT,,open_interest,69193.845,bybit,1.0
1758017700000,,BTCUSDT,,long_short_ratio,"{'buy_ratio': 0.6229, 'sell_ratio': 0.3771}",bybit,1.0
1757980800,,,,fear_greed,"{'value': '52', 'classification': 'Neutral', 'time_until_update': '35652'}",alternative.me,1.0
